,year,affiliation,Organization,Department
"Piaggio, Antoinette J",2019,"7 National Wildlife Research Center, U.S. Department of Agriculture , Fort Collins, CO 80521 , USA.", U.S. Department of Agriculture ,7 National Wildlife Research Center
"Stuckey, Matthew J",2019,"8 Department of Population Health and Reproduction, School of Veterinary Medicine, University of California Davis , Davis CA 95616 , USA.", University of California Davis ,8 Department of Population Health and Reproduction School of Veterinary Medicine
"Nováková, Eva",2019,"9 Faculty of Science, University of South Bohemia , České Budějovice , Czech Republic.
10 Biology Centre of ASCR, Institute of Parasitology , České Budějovice , Czech Republic.", University of South Bohemia ,9 Faculty of Science
"Chomel, Bruno B",2019,"8 Department of Population Health and Reproduction, School of Veterinary Medicine, University of California Davis , Davis CA 95616 , USA.", University of California Davis ,8 Department of Population Health and Reproduction School of Veterinary Medicine
"Aguilar-Setién, Alvaro",2019,"12 Unidad de Investigación Médica en Inmunología, Coordinación de Investigación, Instituto Mexicano del Seguro Social, Centro Médico Nacional Siglo XXI, Hospital de Pediatría 3er piso , Mexico City , Mexico.", Centro Médico Nacional Siglo XXI Hospital de Pediatría 3er piso ,12 Unidad de Investigación Médica en Inmunología Coordinación de Investigación Instituto Mexicano del Seguro Social
"McKenzie, Valerie J",2020,"Department of Ecology and Evolutionary Biology, University of Colorado Boulder, Boulder, Colorado, USA sjsong@ucsd.edu valerie.mckenzie@colorado.edu robknight@ucsd.edu.", University of Colorado Boulder,Department of Ecology and Evolutionary Biology
"Minich, Jeremiah J",2019,"Marine Biology Research Division, Scripps Institution of Oceanography, University of California, San Diego, La Jolla, California, USA.", Scripps Institution of Oceanography University of California San Diego,Marine Biology Research Division
"Humphrey, Greg",2019,"Department of Pediatrics, University of California, San Diego, La Jolla, California, USA.", University of California San Diego,Department of Pediatrics
"Glenn, Travis C",2019,"Department of Environmental Health Science, University of Georgia, Athens, GA, United States of America.
Interdisciplinary Toxicology Program, University of Georgia, Athens, GA, United States of America.
Department of Genetics, University of Georgia, Athens, GA, United States of America.
Georgia Genomics and Bioinformatics Core, University of Georgia, Athens, GA, United States of America.
Institute of Bioinformatics, University of Georgia, Athens, GA, United States of America.", University of Georgia,Department of Environmental Health Science
"Nilsen, Roger A",2019,"Georgia Genomics and Bioinformatics Core, University of Georgia, Athens, GA, United States of America.
Current affiliation:  Department of Small Animal Medicine, College of Veterinary Medicine, University of Georgia, Athens, GA, United States of America.", University of Georgia,Georgia Genomics and Bioinformatics Core
"Kieran, Troy J",2019,"Department of Environmental Health Science, University of Georgia, Athens, GA, United States of America.", University of Georgia,Department of Environmental Health Science
"Bayona-Vásquez, Natalia J",2019,"Department of Environmental Health Science, University of Georgia, Athens, GA, United States of America.", University of Georgia,Department of Environmental Health Science
"Finger, John W",2019,"Department of Environmental Health Science, University of Georgia, Athens, GA, United States of America.
Interdisciplinary Toxicology Program, University of Georgia, Athens, GA, United States of America.
Current affiliation:  Department of Biological Sciences, Auburn University, Auburn, AL, United States of America.", University of Georgia,Department of Environmental Health Science
"Pierson, Todd W",2019,"Department of Environmental Health Science, University of Georgia, Athens, GA, United States of America.
Current affiliation:  Department of Ecology and Evolutionary Biology, University of Tennessee, Knoxville, TN, United States of America.", University of Georgia,Department of Environmental Health Science
"Bentley, Kerin E",2019,"Department of Genetics, University of Georgia, Athens, GA, United States of America.
Current affiliation:  LeafWorks Inc., Sebastopol, CA, United States of America.", University of Georgia,Department of Genetics
"Hoffberg, Sandra L",2019,"Department of Genetics, University of Georgia, Athens, GA, United States of America.
Current affiliation:  Department of Ecology, Evolution, and Environmental Biology, Columbia University, New York, NY, United States of America.", University of Georgia,Department of Genetics
"Louha, Swarnali",2019,"Institute of Bioinformatics, University of Georgia, Athens, GA, United States of America.", University of Georgia,Institute of Bioinformatics
"Garcia-De Leon, Francisco J",2019,"Laboratorio de Genética para la Conservación, Centro de Investigaciones Biológicas del Noroeste, SC, Instituto Politécnico Nacional, La Paz, Mexico.", Centro de Investigaciones Biológicas del Noroeste,Laboratorio de Genética para la Conservación Centro de Investigaciones Biológicas del NoroesteLaboratorio de Genética para la Conservación
"Del Rio Portilla, Miguel Angel",2019,"Centro de Investigación Científica y de Educación Superior de Ensenada (CICESE), Ensenada, Baja California, Mexico.",Centro de Investigación Científica y de Educación Superior de Ensenada (CICESE),Centro de Investigación Científica y de Educación Superior de Ensenada (CICESE)
"Reed, Kurt D",2019,"Department of Pathology and Laboratory Medicine, University of Wisconsin-Madison, Madison, WI, United States of America.", University of Wisconsin-Madison,Department of Pathology and Laboratory Medicine
"Anderson, Jennifer L",2019,"Integrated Research and Development Laboratory, Marshfield Clinic Research Institute, Marshfield, WI, United States of America.", Marshfield Clinic Research Institute,Integrated Research and Development Laboratory
"Meece, Jennifer K",2019,"Integrated Research and Development Laboratory, Marshfield Clinic Research Institute, Marshfield, WI, United States of America.", Marshfield Clinic Research Institute,Integrated Research and Development Laboratory
"Aggrey, Samuel E",2019,"Institute of Bioinformatics, University of Georgia, Athens, GA, United States of America.
Department of Poultry Science, University of Georgia, Athens, GA, United States of America.", University of Georgia,Institute of Bioinformatics
"Rekaya, Romdhane",2019,"Institute of Bioinformatics, University of Georgia, Athens, GA, United States of America.
Department of Animal and Dairy Science, University of Georgia, Athens, GA, United States of America.", University of Georgia,Institute of Bioinformatics
"Alabady, Magdy",2019,"Georgia Genomics and Bioinformatics Core, University of Georgia, Athens, GA, United States of America.
Department of Plant Biology, University of Georgia, Athens, GA, United States of America.", University of Georgia,Georgia Genomics and Bioinformatics Core
"Belanger, Myriam",2019,"Georgia Genomics and Bioinformatics Core, University of Georgia, Athens, GA, United States of America.
Department of Infectious Diseases, University of Georgia, Athens, GA, United States of America.", University of Georgia,Georgia Genomics and Bioinformatics Core
"Winker, Kevin",2020,"University of Alaska Museum, Fairbanks, Alaska, USA.",University of Alaska Museum,University of Alaska Museum
"Faircloth, Brant C",2019,"Department of Biological Sciences and Museum of Natural Science, Louisiana State University, Baton Rouge, LA, United States of America.", Louisiana State University,Department of Biological Sciences and Museum of Natural Science
"Cao, Liu",2019,"Computational Biology Department, Carnegie Mellon University, Pittsburgh, PA, USA.", Carnegie Mellon University,Computational Biology Department
"Gurevich, Alexey",2019,"Center for Algorithmic Biotechnology, Institute of Translational Biomedicine, St. Petersburg State University, St. Petersburg, Russia.", St. Petersburg State University,Center for Algorithmic Biotechnology Institute of Translational Biomedicine
"Alexander, Kelsey L",2019,"Center for Marine Biotechnology and Biomedicine, Scripps Institution of Oceanography and Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, San Diego, CA, USA; Department of Chemistry and Biochemistry, University of California, San Diego, San Diego, CA, USA.", Scripps Institution of Oceanography and Skaggs School of Pharmacy and Pharmaceutical Sciences,Center for Marine Biotechnology and Biomedicine
"Naman, C Benjamin",2019,"Center for Marine Biotechnology and Biomedicine, Scripps Institution of Oceanography and Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, San Diego, CA, USA; Li Dak Sum Yip Yio Chin Kenneth Li Marine Biopharmaceutical Research Center, Department of Marine Pharmacy, College of Food and Pharmaceutical Sciences, Ningbo University, Ningbo, Zhejiang, China.", Scripps Institution of Oceanography and Skaggs School of Pharmacy and Pharmaceutical Sciences University of California San Diego,Center for Marine Biotechnology and Biomedicine
"Leão, Tiago",2019,"Center for Marine Biotechnology and Biomedicine, Scripps Institution of Oceanography and Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, San Diego, CA, USA.", University of California San Diego,Center for Marine Biotechnology and Biomedicine Scripps Institution of Oceanography and Skaggs School of Pharmacy and Pharmaceutical Sciences
"Glukhov, Evgenia",2019,"Center for Marine Biotechnology and Biomedicine, Scripps Institution of Oceanography and Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, San Diego, CA, USA.", University of California San Diego,Center for Marine Biotechnology and Biomedicine Scripps Institution of Oceanography and Skaggs School of Pharmacy and Pharmaceutical Sciences
"Luzzatto-Knaan, Tal",2019,"Collaborative Mass Spectrometry Innovation Center, Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, San Diego, CA, USA.", University of California San Diego,Collaborative Mass Spectrometry Innovation Center Skaggs School of Pharmacy and Pharmaceutical Sciences
"Vargas, Fernando",2019,"Collaborative Mass Spectrometry Innovation Center, Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, San Diego, CA, USA.", University of California San Diego,Collaborative Mass Spectrometry Innovation Center Skaggs School of Pharmacy and Pharmaceutical Sciences
"Quinn, Robby",2019,"Collaborative Mass Spectrometry Innovation Center, Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, San Diego, CA, USA.", University of California San Diego,Collaborative Mass Spectrometry Innovation Center Skaggs School of Pharmacy and Pharmaceutical Sciences
"Nothias, Louis Felix",2019,"Collaborative Mass Spectrometry Innovation Center, Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, San Diego, CA, USA.", University of California San Diego,Collaborative Mass Spectrometry Innovation Center Skaggs School of Pharmacy and Pharmaceutical Sciences
"Singh, Nitin K",2019,"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA.", California Institute of Technology,Jet Propulsion Laboratory
"Benitez, Rodolfo A S",2019,"Department of Pediatrics, University of California, San Diego School of Medicine, San Diego, CA, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"Hamid, Md-Nafiz",2019,"Department of Veterinary Microbiology and Preventive Medicine, Iowa State University, Ames, IA, USA; Interdepartmental program in Bioinformatics and Computational Biology, Iowa State University, Ames, IA, USA.", Iowa State University,Department of Veterinary Microbiology and Preventive Medicine
"Mikheenko, Alla",2019,"Center for Algorithmic Biotechnology, Institute of Translational Biomedicine, St. Petersburg State University, St. Petersburg, Russia.", St. Petersburg State University,Center for Algorithmic Biotechnology Institute of Translational Biomedicine
"Shlemov, Alexander",2019,"Center for Algorithmic Biotechnology, Institute of Translational Biomedicine, St. Petersburg State University, St. Petersburg, Russia.", St. Petersburg State University,Center for Algorithmic Biotechnology Institute of Translational Biomedicine
"Korobeynikov, Anton",2019,"Center for Algorithmic Biotechnology, Institute of Translational Biomedicine, St. Petersburg State University, St. Petersburg, Russia; Department of Mathematics and Mechanics, St. Petersburg State University, St. Petersburg, Russia.", St. Petersburg State University,Center for Algorithmic Biotechnology Institute of Translational Biomedicine
"Friedberg, Iddo",2019,"Department of Veterinary Microbiology and Preventive Medicine, Iowa State University, Ames, IA, USA; Interdepartmental program in Bioinformatics and Computational Biology, Iowa State University, Ames, IA, USA.", Iowa State University,Department of Veterinary Microbiology and Preventive Medicine
"Venkateswaran, Kasthuri",2019,"Jet Propulsion Laboratory, California Institute of Technology, Pasadena, CA, USA.", California Institute of Technology,Jet Propulsion Laboratory
"Gerwick, William H",2019,"Center for Marine Biotechnology and Biomedicine, Scripps Institution of Oceanography and Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, San Diego, CA, USA.", University of California San Diego,Center for Marine Biotechnology and Biomedicine Scripps Institution of Oceanography and Skaggs School of Pharmacy and Pharmaceutical Sciences
"Gerwick, Lena",2019,"Center for Marine Biotechnology and Biomedicine, Scripps Institution of Oceanography and Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California, San Diego, San Diego, CA, USA.", University of California San Diego,Center for Marine Biotechnology and Biomedicine Scripps Institution of Oceanography and Skaggs School of Pharmacy and Pharmaceutical Sciences
"Pevzner, Pavel A",2019,"Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA.
Center for Microbiome Innovation, Jacobs School of Engineering, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Computer Science and Engineering
"Mohimani, Hosein",2019,"Computational Biology Department, Carnegie Mellon University, Pittsburgh, PA, USA; Department of Computer Science and Engineering, University of California, San Diego, San Diego, CA, USA. Electronic address: hoseinm@andrew.cmu.edu.", Carnegie Mellon University,Computational Biology Department
"Nurk, Sergey",2019,"Center for Algorithmic Biotechnology, Institute for Translational Biomedicine, St. Petersburg State University, St. Petersburg, Russia.", St. Petersburg State University,Center for Algorithmic Biotechnology Institute for Translational Biomedicine
"Minich, Jeremiah",2019,"Department of Pediatrics, University of California San Diego School of Medicine, La Jolla, CA, 92093, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"Martino, Cameron",2019,"Department of Pediatrics, University of California San Diego School of Medicine, La Jolla, CA, 92093, USA.
Bioinformatics and Systems Biology Program, University of California San Diego, La Jolla, CA, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"Fedarko, Marcus",2019,"Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Computer Science and Engineering
"Arthur, Timothy D",2019,"Department of Pediatrics, University of California San Diego School of Medicine, La Jolla, CA, 92093, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"Chen, Feng",2019,"Illumina, Inc., La Jolla, CA, USA.",Illumina Inc.,
"Boland, Brigid S",2019,"Division of Gastroenterology, Department of Medicine, University of California San Diego, La Jolla, CA, USA.
Inflammatory Bowel Disease Center, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Division of Gastroenterology Department of Medicine
"Humphrey, Greg C",2019,"Department of Pediatrics, University of California San Diego School of Medicine, La Jolla, CA, 92093, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"Jepsen, Kristen",2019,"Institute for Genomic Medicine, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Institute for Genomic Medicine
"Khosroheidari, Mahdieh",2019,"Institute for Genomic Medicine, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Institute for Genomic Medicine
"Green, Cliff",2019,"Institute for Genomic Medicine, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Institute for Genomic Medicine
"Liyanage, Marlon",2019,"Department of Pediatrics, University of California San Diego School of Medicine, La Jolla, CA, 92093, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"Dang, Jason W",2019,"Department of Pediatrics, University of California San Diego School of Medicine, La Jolla, CA, 92093, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"Phelan, Vanessa V",2019,"Skaggs School of Pharmacy and Pharmaceutical Sciences, University of California San Diego, La Jolla, CA, USA.
Skaggs School of Pharmacy and Pharmaceutical Sciences, University of Colorado, Aurora, CO, USA.", University of California San Diego,Skaggs School of Pharmacy and Pharmaceutical Sciences
"Bankevich, Anton",2019,"Center for Algorithmic Biotechnology, Institute for Translational Biomedicine, St. Petersburg State University, St. Petersburg, Russia.", St. Petersburg State University,Center for Algorithmic Biotechnology Institute for Translational Biomedicine
"Chang, John T",2019,"Division of Gastroenterology, Department of Medicine, University of California San Diego, La Jolla, CA, USA.
Inflammatory Bowel Disease Center, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Division of Gastroenterology Department of Medicine
"Rana, Tariq M",2019,"Department of Pediatrics, University of California San Diego School of Medicine, La Jolla, CA, 92093, USA.", University of California San Diego School of Medicine,Department of Pediatrics
"Conrad, Douglas J",2019,"Division of Pulmonary, Critical Care and Sleep Medicine, Department of Medicine, University of California San Diego, 9500 Gilman Drive, La Jolla, CA, 92093, USA.", University of California San Diego,Division of Pulmonary Critical Care and Sleep Medicine Department of Medicine
"Sandborn, William J",2019,"Division of Gastroenterology, Department of Medicine, University of California San Diego, La Jolla, CA, USA.
Inflammatory Bowel Disease Center, University of California San Diego, La Jolla, CA, USA.
Center for Microbiome Innovation, Jacobs School of Engineering, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Division of Gastroenterology Department of Medicine
"Mai, Uyen",2019,"Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Computer Science and Engineering
"Pfeiffer, Wayne",2019,"San Diego Supercomputer Center, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,San Diego Supercomputer Center
"Asnicar, Francesco",2019,"Department CIBIO, University of Trento, Trento, Italy.", University of Trento,Department CIBIO
"Belda-Ferre, Pedro",2019,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics
"Al-Ghalith, Gabriel A",2019,"Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA.", University of Minnesota,Department of Computer Science and Engineering
"Yin, John B",2019,"Department of Electrical and Computer Engineering, University of California San Diego, La Jolla, CA, USA.
Department of Mathematics, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Electrical and Computer Engineering
"Huang, Shi",2019,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.
Single-Cell Center, Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao, Shandong, China.", University of California San Diego,Department of Pediatrics
"Salam, Nimaichand",2019,"State Key Laboratory of Biocontrol and Guangdong Key Laboratory of Plant Resources, School of Life Sciences, Sun Yat-sen University, Guangzhou, China.", Sun Yat-sen University,State Key Laboratory of Biocontrol and Guangdong Key Laboratory of Plant Resources School of Life Sciences
"Jiao, Jian-Yu",2019,"State Key Laboratory of Biocontrol and Guangdong Key Laboratory of Plant Resources, School of Life Sciences, Sun Yat-sen University, Guangzhou, China.", Sun Yat-sen University,State Key Laboratory of Biocontrol and Guangdong Key Laboratory of Plant Resources School of Life Sciences
"Wu, Zijun",2019,"Department of Pediatrics, University of California San Diego, La Jolla, CA, USA.
Division of Biological Sciences, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Pediatrics
"Cantrell, Kalen",2019,"Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA.", University of Minnesota,Department of Computer Science and Engineering
"Yang, Yimeng",2019,"Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA.", University of Minnesota,Department of Computer Science and Engineering
"Sayyari, Erfan",2019,"Department of Electrical and Computer Engineering, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Electrical and Computer Engineering
"Rabiee, Maryam",2019,"Department of Computer Science and Engineering, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Department of Computer Science and Engineering
"Podell, Sheila",2019,"Scripps Institution of Oceanography, University of California San Diego, La Jolla, CA, USA.", University of California San Diego,Scripps Institution of Oceanography
"Knights, Dan",2019,"Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA.", University of Minnesota,Department of Computer Science and Engineering
"Li, Wen-Jun",2019,"State Key Laboratory of Biocontrol and Guangdong Key Laboratory of Plant Resources, School of Life Sciences, Sun Yat-sen University, Guangzhou, China.", Sun Yat-sen University,State Key Laboratory of Biocontrol and Guangdong Key Laboratory of Plant Resources School of Life Sciences
"Huttenhower, Curtis",2019,"Department of Biostatistics, Harvard T. H. Chan School of Public Health, Boston, MA, USA.
The Broad Institute of MIT and Harvard, Cambridge, MA, USA.", Harvard T. H. Chan School of Public Health,Department of Biostatistics
"Segata, Nicola",2019,"Department CIBIO, University of Trento, Trento, Italy.", University of Trento,Department CIBIO
"Delsuc, Frédéric",2020,"Institut des Sciences de l'Evolution de Montpellier (ISEM), CNRS, EPHE, IRD, Université de Montpellier, Montpellier, France.", Université de Montpellier,Institut des Sciences de l'Evolution de Montpellier (ISEM) CNRSInstitut des Sciences de l'Evolution de Montpellier (ISEM) CNRS EPHE IRD
"Metcalf, Jessica",2020,"Department of Animal Sciences, Colorado State University, Fort Collins, Colorado, USA.", Colorado State University,Department of Animal Sciences
"Amato, Katherine",2020,"Department of Anthropology, Northwestern University, Evanston, Illinois, USA.", Northwestern University,Department of Anthropology
"Taylor, Michael W",2020,"School of Biological Sciences, University of Auckland, Auckland, New Zealand.", University of Auckland,School of Biological Sciences
"Lutz, Holly L",2020,"Department of Pediatrics, School of Medicine, University of California San Diego, La Jolla, California, USA.
Integrative Research Center, Field Museum of Natural History, Chicago, Illinois, USA.", University of California San Diego,Department of Pediatrics School of Medicine
"Graves, Gary R",2020,"Department of Vertebrate Zoology, National Museum of Natural History, Smithsonian Institution, Washington, DC, USA.
Center for Macroecology, Evolution and Climate National Museum of Denmark, University of Copenhagen, Copenhagen, Denmark.", National Museum of Natural History Smithsonian Institution,Department of Vertebrate Zoology
"Hackett, Shannon J",2020,"Integrative Research Center, Field Museum of Natural History, Chicago, Illinois, USA.", Field Museum of Natural History,Integrative Research Center
"White, Kevin P",2020,"Institute for Genomics and Systems Biology, University of Chicago, Chicago, Illinois, USA.", University of Chicago,Institute for Genomics and Systems Biology
"Skeen, Heather R",2020,"Integrative Research Center, Field Museum of Natural History, Chicago, Illinois, USA.
Committee on Evolutionary Biology, University of Chicago, Chicago, Illinois, USA.", Field Museum of Natural History,Integrative Research Center
"Kurtis, Sarah M",2020,"Department of Biology, University of Florida, Gainesville, Florida, USA.", University of Florida,Department of Biology
"Withrow, Jack",2020,"University of Alaska Museum, Fairbanks, Alaska, USA.",University of Alaska Museum,University of Alaska Museum
"Braile, Thomas",2020,"University of Alaska Museum, Fairbanks, Alaska, USA.",University of Alaska Museum,
"Miller, Matthew",2020,"University of Alaska Museum, Fairbanks, Alaska, USA.
Sam Noble Oklahoma Museum of Natural History, Department of Biology, University of Oklahoma, Norman, Oklahoma, USA.",University of Alaska Museum,
"McCracken, Kevin G",2020,"University of Alaska Museum, Fairbanks, Alaska, USA.
Department of Biology, University of Miami, Coral Gables, Florida, USA.
Rosenstiel School of Marine and Atmospheric Sciences, University of Miami, Miami, Florida, USA.
Human Genetics and Genomics, Hussman Institute for Human Genomics, University of Miami Miller School of Medicine, Miami, Florida, USA.
Institute of Arctic Biology, University of Alaska, Fairbanks, Fairbanks, Alaska, USA.",University of Alaska Museum,
"Maley, James M",2020,"Moore Laboratory of Zoology, Occidental College, Los Angeles, California, USA.", Occidental College,Moore Laboratory of Zoology
"Ezenwa, Vanessa O",2020,"Odum School of Ecology, University of Georgia, Athens, Georgia, USA.
Department of Infectious Diseases, College of Veterinary Medicine, University of Georgia, Athens, Georgia, USA.", University of Georgia,Odum School of Ecology
"Williams, Allison",2020,"Odum School of Ecology, University of Georgia, Athens, Georgia, USA.", University of Georgia,Odum School of Ecology
"Blanton, Jessica M",2020,"Marine Biology Research Division, Scripps Institution of Oceanography, University of California San Diego, La Jolla, California, USA.", Scripps Institution of Oceanography University of California San Diego,Marine Biology Research Division
